"break_size","strategy","horizon","rmse","mae"
"small","full","h1",0.973017114825697,0.763075495519256
"small","full","h1",1.25037493438828,1.02548078390595
"small","full","h1",1.02357104423386,0.840280478011535
"small","full","h1",1.05905939092626,0.828911370327904
"small","full","h1",1.28999169661641,0.982545458902748
"small","full","h1",1.99491741139804,1.7224597989712
"small","full","h1",1.95010716801613,1.68707275509365
"small","full","h1",1.06278000114228,0.834341078984698
"small","full","h1",1.48026894700351,1.1854272327474
"small","full","h1",1.69088488972064,1.4011971776239
"small","full","h1",1.28536574270548,1.10714261659145
"small","full","h1",1.17979483789161,0.965341140973556
"small","full","h1",1.16113993569201,0.955433913708703
"small","full","h1",1.25451851272099,1.06521750666595
"small","full","h1",1.34607562846174,1.07104948284709
"small","full","h1",1.12192338033154,0.865097467788507
"small","full","h1",1.73277938779073,1.47593959478659
"small","full","h1",1.31998153018937,1.10525800489821
"small","full","h1",1.17247217796661,0.961915917643838
"small","full","h1",1.04028453352854,0.84411383730033
"small","full","h1",1.42026299225144,1.1651623869365
"small","full","h1",1.55050681180036,1.29184646480958
"small","full","h1",1.15348397621607,0.912822492954424
"small","full","h1",1.11704829721824,0.902773183917123
"small","full","h1",1.19117621829615,0.9692301833207
"small","full","h1",1.07622245893057,0.938046002834385
"small","full","h1",1.13331440127147,0.872010534938158
"small","full","h1",1.26477256949733,1.00457390327922
"small","full","h1",1.16360744907438,0.869844889748841
"small","full","h1",0.996842396929129,0.7865192531627
"small","full","h1",1.17886052411812,0.92345026760228
"small","full","h1",1.04945900132885,0.828900516599404
"small","full","h1",1.33690030993256,1.05594054660223
"small","full","h1",1.81512010020766,1.63822621968707
"small","full","h1",0.987480120091071,0.850835060207946
"small","full","h1",1.41118633172037,1.2127629063853
"small","full","h1",1.47027645799518,1.22006235530162
"small","full","h1",1.48564572122244,1.25133589149304
"small","full","h1",1.15502130645985,0.87194989681137
"small","full","h1",1.33961659253309,1.07033989676584
"small","full","h1",0.955928326115449,0.750435918041674
"small","full","h1",1.2670414587131,1.05894242953571
"small","full","h1",1.13960591193736,0.927339898004646
"small","full","h1",1.11177809615962,0.913983428446501
"small","full","h1",1.40104016134175,1.09519428876852
"small","full","h1",1.32442755774144,1.05645503354233
"small","full","h1",1.03014078892983,0.856168932616934
"small","full","h1",1.40370922418278,1.10973827642329
"small","full","h1",1.2550036609452,1.0047865011597
"small","full","h1",1.76297390265856,1.45764413761118
"small","full","h1",1.4755119977139,1.17830181422935
"small","full","h1",0.827675604318273,0.641048928360749
"small","full","h1",1.24879341657225,0.991666617938285
"small","full","h1",1.16087553492157,0.969513171230501
"small","full","h1",1.56487530076954,1.25231023806944
"small","full","h1",1.45872563635669,1.15676192017532
"small","full","h1",1.35222953961215,1.10137992120037
"small","full","h1",1.51743332204717,1.26505945153088
"small","full","h1",1.21347560840673,0.995767157932527
"small","full","h1",1.18307273434492,0.957620949318781
"small","full","h1",1.31631783645342,1.04311835005102
"small","full","h1",1.2391646080771,1.00050765814544
"small","full","h1",1.0957471277967,0.895565471885358
"small","full","h1",0.994929527496132,0.827956038085901
"small","full","h1",1.25973434904252,1.051052026126
"small","full","h1",1.04038378648956,0.814119421556851
"small","full","h1",1.14206781912946,0.929855513136905
"small","full","h1",2.26126070168334,1.93324947828414
"small","full","h1",1.05212211580726,0.82818656079019
"small","full","h1",1.75086661318915,1.46818257425418
"small","full","h1",1.28538245071552,1.08421126005028
"small","full","h1",1.22586612704953,0.993247180649661
"small","full","h1",1.17210919536757,0.958000481013669
"small","full","h1",1.21337211417551,0.9305778583467
"small","full","h1",1.81889554764316,1.59338072135571
"small","full","h1",1.24471995688541,1.03053985605378
"small","full","h1",1.43377166912768,1.17238664997609
"small","full","h1",1.13828101583345,0.895175660027511
"small","full","h1",1.89074699102328,1.59566648510898
"small","full","h1",1.05587071859705,0.847293920224757
"small","full","h1",1.72623810140869,1.38134266495055
"small","full","h1",1.28226673649665,1.00524782398015
"small","full","h1",1.26950644276087,1.00508000703006
"small","full","h1",1.48546939095809,1.22270447964689
"small","full","h1",2.9881987044596,2.77450229033478
"small","full","h1",1.07406800109328,0.814616118053576
"small","full","h1",1.23975152925964,0.968385566058518
"small","full","h1",1.13592406306822,0.987211366169095
"small","full","h1",1.24689543478444,1.02050121146575
"small","full","h1",1.3698444452229,1.10407186593078
"small","full","h1",0.9207890283869,0.753389754620927
"small","full","h1",1.46803098788431,1.15733805274312
"small","full","h1",1.16072523117475,0.976878641944656
"small","full","h1",0.977410426714162,0.779424207491309
"small","full","h1",1.14266988666838,0.925434242959081
"small","full","h1",1.11504264124095,0.886008573341853
"small","full","h1",1.35537626339966,1.10747754865812
"small","full","h1",1.22816106305571,0.983192399286087
"small","full","h1",1.12993013145825,0.847934541936054
"small","full","h1",2.04493451363461,1.69444102669579
"small","full","h1",1.98214798092085,1.6997205253973
"small","full","h1",1.91834195415427,1.46469441097949
"small","full","h1",1.24305291409176,0.937432916325402
"small","full","h1",1.31194831776278,1.03399027985336
"small","full","h1",1.01061728428702,0.796407749895392
"small","full","h1",1.30578268923583,1.06542530529495
"small","full","h1",1.79029010045804,1.32890965441089
"small","full","h1",1.13744022102522,0.857882432655652
"small","full","h1",1.67850340151086,1.34805109901405
"small","full","h1",0.949089352482518,0.762375285929958
"small","full","h1",1.1752279659458,0.884973696822294
"small","full","h1",0.952836930543233,0.751884734016301
"small","full","h1",1.18739150034515,0.917131987225927
"small","full","h1",1.38286053494385,1.1133614404696
"small","full","h1",1.58606194818887,1.32862360038796
